date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:04	61500/61500	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:04%20GMT	https://findhouse.bookingcore.org/property/renovated-apartment-1	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/property/renovated-apartment-1.html	(from https://findhouse.bookingcore.org/)
22:25:04	61609/61609	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:04%20GMT	https://findhouse.bookingcore.org/property/renovated-apartment-1?layout=1	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/property/renovated-apartment-1659a.html	(from https://findhouse.bookingcore.org/)
22:25:05	61824/61824	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:05%20GMT	https://findhouse.bookingcore.org/property/renovated-apartment-1?layout=2	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/property/renovated-apartment-16d5a.html	(from https://findhouse.bookingcore.org/)
22:25:05	60223/60223	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:05%20GMT	https://findhouse.bookingcore.org/property/renovated-apartment-1?layout=3	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/property/renovated-apartment-1de65.html	(from https://findhouse.bookingcore.org/)
22:25:06	61157/61157	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:06%20GMT	https://findhouse.bookingcore.org/property/renovated-apartment-1?layout=4	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/property/renovated-apartment-1d787.html	(from https://findhouse.bookingcore.org/)
22:25:06	44679/44679	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:06%20GMT	https://findhouse.bookingcore.org/agency	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/agency.html	(from https://findhouse.bookingcore.org/)
22:25:07	50305/50305	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:07%20GMT	https://findhouse.bookingcore.org/agency/real-estate-experts	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/agency/real-estate-experts.html	(from https://findhouse.bookingcore.org/)
22:25:07	44526/44526	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:07%20GMT	https://findhouse.bookingcore.org/agent	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/agent.html	(from https://findhouse.bookingcore.org/)
22:25:08	41023/41023	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:07%20GMT	https://findhouse.bookingcore.org/agent/1	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/agent/1.html	(from https://findhouse.bookingcore.org/)
22:25:08	36322/36322	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:08%20GMT	https://findhouse.bookingcore.org/news	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/news.html	(from https://findhouse.bookingcore.org/)
22:25:08	33629/33629	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:08%20GMT	https://findhouse.bookingcore.org/news/city-spotlight-philadelphia	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/news/city-spotlight-philadelphia.html	(from https://findhouse.bookingcore.org/)
22:25:09	29090/29090	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:09%20GMT	https://findhouse.bookingcore.org/contact	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/contact.html	(from https://findhouse.bookingcore.org/)
22:25:09	33239/33239	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:09%20GMT	https://findhouse.bookingcore.org/page/about-us	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/page/about-us.html	(from https://findhouse.bookingcore.org/)
22:25:10	29117/29117	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:09%20GMT	https://findhouse.bookingcore.org/page/become-a-agent	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/page/become-a-agent.html	(from https://findhouse.bookingcore.org/)
22:25:10	501/501	---MC-	302	error ('Found')	text/html	date:Mon,%2018%20Jul%202022%2019:25:10%20GMT	https://findhouse.bookingcore.org/user/property/create	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/user/property/create	(from https://findhouse.bookingcore.org/)
22:25:10	329/329	---MC-	302	error ('Found')	text/html	date:Mon,%2018%20Jul%202022%2019:25:10%20GMT	https://findhouse.bookingcore.org/?set_currency=eur	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/indexe8d3.html	(from https://findhouse.bookingcore.org/)
22:25:10	26827/26827	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:10%20GMT	https://findhouse.bookingcore.org/login?redirect=%2Fuser%2Fproperty%2Fcreate	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/login0ba4.html	(from https://findhouse.bookingcore.org/)
22:25:10	329/329	---MC-	302	error ('Found')	text/html	date:Mon,%2018%20Jul%202022%2019:25:10%20GMT	https://findhouse.bookingcore.org/?set_currency=jpy	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/index34ee.html	(from https://findhouse.bookingcore.org/)
22:25:11	469/469	---MC-	302	error ('Found')	text/html	date:Mon,%2018%20Jul%202022%2019:25:10%20GMT	https://findhouse.bookingcore.org/user/dashboard	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/user/dashboard	(from https://findhouse.bookingcore.org/)
22:25:11	341/341	---MC-	302	error ('Found')	text/html	date:Mon,%2018%20Jul%202022%2019:25:11%20GMT	https://findhouse.bookingcore.org/?set_lang=ja	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/indexec6b.html	(from https://findhouse.bookingcore.org/)
22:25:11	345/345	---MC-	302	error ('Found')	text/html	date:Mon,%2018%20Jul%202022%2019:25:11%20GMT	https://findhouse.bookingcore.org/?set_lang=egy	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/index628c.html	(from https://findhouse.bookingcore.org/)
22:25:11	26764/26764	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:11%20GMT	https://findhouse.bookingcore.org/login?redirect=%2Fuser%2Fdashboard	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/login21b9.html	(from https://findhouse.bookingcore.org/)
22:25:12	26487/26487	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:12%20GMT	https://findhouse.bookingcore.org/login	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/login.html	(from https://findhouse.bookingcore.org/)
22:25:12	27278/27278	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2019:25:12%20GMT	https://findhouse.bookingcore.org/register	C:/My%20Web%20Sites/mastertemplate2/findhouse.bookingcore.org/register.html	(from https://findhouse.bookingcore.org/)
